:START_ID,:END_ID,relation,confidence:float,:TYPE
E000004,L000206,发生在,0.9,EVENT_LOCATED_AT
E000005,L000004,发生在,0.9,EVENT_LOCATED_AT
E000012,L000081,发生在,0.95,EVENT_LOCATED_AT
E000017,L000006,发生在,0.95,EVENT_LOCATED_AT
E000020,L000010,发生在,0.95,EVENT_LOCATED_AT
E000021,L000011,发生在,0.95,EVENT_LOCATED_AT
E000028,L000026,发生在,0.95,EVENT_LOCATED_AT
E000029,L000027,发生在,0.9,EVENT_LOCATED_AT
E000031,L000076,发生在,0.95,EVENT_LOCATED_AT
E000032,L000029,发生在,0.95,EVENT_LOCATED_AT
E000036,L000032,发生在,0.9,EVENT_LOCATED_AT
E000044,L000040,发生在,0.9,EVENT_LOCATED_AT
E000046,L000041,发生在,0.9,EVENT_LOCATED_AT
E000047,L000043,发生在,0.9,EVENT_LOCATED_AT
E000051,L001010,发生在,0.9,EVENT_LOCATED_AT
E000053,L000050,发生在,0.9,EVENT_LOCATED_AT
E000057,L000051,发生在,0.9,EVENT_LOCATED_AT
E000061,L000060,发生在,0.9,EVENT_LOCATED_AT
E000066,L000009,发生在,0.95,EVENT_LOCATED_AT
E000067,L000059,发生在,0.9,EVENT_LOCATED_AT
E000079,L000061,发生在,0.9,EVENT_LOCATED_AT
E000089,L000069,发生在,0.9,EVENT_LOCATED_AT
E000096,L000073,发生在,0.9,EVENT_LOCATED_AT
E000102,L000075,发生在,0.9,EVENT_LOCATED_AT
E000103,L000076,发生在,0.9,EVENT_LOCATED_AT
E000104,L000078,发生在,0.9,EVENT_LOCATED_AT
E000107,L000080,发生在,0.9,EVENT_LOCATED_AT
E000110,L000083,发生在,0.9,EVENT_LOCATED_AT
E000114,L000076,发生在,0.9,EVENT_LOCATED_AT
E000129,L000087,发生在,0.9,EVENT_LOCATED_AT
E000131,L000033,发生在,0.9,EVENT_LOCATED_AT
E000134,L000053,发生在,0.9,EVENT_LOCATED_AT
E000139,L000090,发生在,0.9,EVENT_LOCATED_AT
E000145,L000092,发生在,0.95,EVENT_LOCATED_AT
E000147,L000101,发生在,0.95,EVENT_LOCATED_AT
E000148,L000010,发生在,0.95,EVENT_LOCATED_AT
E000156,L000116,发生在,0.9,EVENT_LOCATED_AT
E000157,L000118,发生在,0.9,EVENT_LOCATED_AT
E000159,L000788,发生在,0.9,EVENT_LOCATED_AT
E000160,L000137,发生在,0.9,EVENT_LOCATED_AT
E000168,L000144,发生在,0.9,EVENT_LOCATED_AT
E000169,L000146,发生在,0.9,EVENT_LOCATED_AT
E000171,L000151,发生在,0.9,EVENT_LOCATED_AT
E000175,L000157,发生在,0.9,EVENT_LOCATED_AT
E000176,L000157,发生在,0.9,EVENT_LOCATED_AT
E000177,L000160,发生在,0.9,EVENT_LOCATED_AT
E000186,L000951,发生在,0.9,EVENT_LOCATED_AT
E000188,L000802,发生在,0.95,EVENT_LOCATED_AT
E000189,L000802,发生在,0.95,EVENT_LOCATED_AT
E000192,L000326,发生在,0.9,EVENT_LOCATED_AT
E000193,L000078,发生在,0.95,EVENT_LOCATED_AT
E000194,L000802,发生在,0.95,EVENT_LOCATED_AT
E000197,L000515,发生在,0.95,EVENT_LOCATED_AT
E000200,L000027,发生在,0.95,EVENT_LOCATED_AT
E000201,L000027,发生在,0.95,EVENT_LOCATED_AT
E000202,L000027,发生在,0.95,EVENT_LOCATED_AT
E000203,L000063,发生在,0.95,EVENT_LOCATED_AT
E000204,L000063,发生在,0.95,EVENT_LOCATED_AT
E000205,L000063,发生在,0.9,EVENT_LOCATED_AT
E000206,L000027,发生在,0.95,EVENT_LOCATED_AT
E000207,L000027,发生在,0.95,EVENT_LOCATED_AT
E000209,L000027,发生在,0.9,EVENT_LOCATED_AT
E000212,L000027,发生在,0.9,EVENT_LOCATED_AT
E000213,L000010,发生在,0.9,EVENT_LOCATED_AT
E000214,L000027,发生在,0.9,EVENT_LOCATED_AT
E000215,L000027,发生在,0.9,EVENT_LOCATED_AT
E000216,L000027,发生在,0.9,EVENT_LOCATED_AT
E000219,L000027,发生在,0.9,EVENT_LOCATED_AT
E000220,L000198,发生在,0.9,EVENT_LOCATED_AT
E000221,L000199,发生在,0.9,EVENT_LOCATED_AT
E000225,L000175,发生在,0.9,EVENT_LOCATED_AT
E000226,L000802,发生在,0.9,EVENT_LOCATED_AT
E000228,L000802,发生在,0.9,EVENT_LOCATED_AT
E000231,L000203,发生在,0.9,EVENT_LOCATED_AT
E000232,L000211,发生在,0.9,EVENT_LOCATED_AT
E000233,L000213,发生在,0.9,EVENT_LOCATED_AT
E000234,L000412,发生在,0.9,EVENT_LOCATED_AT
E000235,L000216,发生在,0.9,EVENT_LOCATED_AT
E000236,L000438,发生在,0.9,EVENT_LOCATED_AT
E000237,L000802,发生在,0.9,EVENT_LOCATED_AT
E000240,L000221,发生在,0.95,EVENT_LOCATED_AT
E000241,L000511,发生在,0.95,EVENT_LOCATED_AT
E000246,L001041,发生在,0.95,EVENT_LOCATED_AT
E000247,L000222,发生在,0.95,EVENT_LOCATED_AT
E000250,L000049,发生在,0.9,EVENT_LOCATED_AT
E000251,L000049,发生在,0.9,EVENT_LOCATED_AT
E000252,L000226,发生在,0.9,EVENT_LOCATED_AT
E000253,L000226,发生在,0.9,EVENT_LOCATED_AT
E000254,L000226,发生在,0.9,EVENT_LOCATED_AT
E000268,L000227,发生在,0.9,EVENT_LOCATED_AT
E000269,L000229,发生在,0.9,EVENT_LOCATED_AT
E000275,L000250,发生在,0.9,EVENT_LOCATED_AT
E000276,L000174,发生在,0.9,EVENT_LOCATED_AT
E000277,L000053,发生在,0.9,EVENT_LOCATED_AT
E000280,L000241,发生在,0.9,EVENT_LOCATED_AT
E000283,L000920,发生在,0.9,EVENT_LOCATED_AT
E000287,L000232,发生在,0.9,EVENT_LOCATED_AT
E000298,L000033,发生在,0.9,EVENT_LOCATED_AT
E000301,L000955,发生在,0.9,EVENT_LOCATED_AT
E000302,L000239,发生在,0.9,EVENT_LOCATED_AT
E000304,L000240,发生在,0.9,EVENT_LOCATED_AT
E000310,L000241,发生在,0.9,EVENT_LOCATED_AT
E000319,L000244,发生在,0.9,EVENT_LOCATED_AT
E000320,L000217,发生在,0.9,EVENT_LOCATED_AT
E000323,L000247,发生在,0.9,EVENT_LOCATED_AT
E000324,L000246,发生在,0.9,EVENT_LOCATED_AT
E000326,L000248,发生在,0.9,EVENT_LOCATED_AT
E000331,L000249,发生在,0.9,EVENT_LOCATED_AT
E000334,L000252,发生在,0.9,EVENT_LOCATED_AT
E000335,L000174,发生在,0.9,EVENT_LOCATED_AT
E000340,L000443,发生在,0.9,EVENT_LOCATED_AT
E000341,L000443,发生在,0.9,EVENT_LOCATED_AT
E000344,L000989,发生在,0.9,EVENT_LOCATED_AT
E000346,L000256,发生在,0.9,EVENT_LOCATED_AT
E000348,L000802,发生在,0.9,EVENT_LOCATED_AT
E000349,L000443,发生在,0.9,EVENT_LOCATED_AT
E000350,L000258,发生在,0.9,EVENT_LOCATED_AT
E000351,L000258,发生在,0.9,EVENT_LOCATED_AT
E000352,L000259,发生在,0.9,EVENT_LOCATED_AT
E000353,L000258,发生在,0.9,EVENT_LOCATED_AT
E000355,L000259,发生在,0.9,EVENT_LOCATED_AT
E000361,L000989,发生在,0.9,EVENT_LOCATED_AT
E000362,L000443,发生在,0.9,EVENT_LOCATED_AT
E000363,L000261,发生在,0.9,EVENT_LOCATED_AT
E000364,L000261,发生在,0.9,EVENT_LOCATED_AT
E000365,L000262,发生在,0.9,EVENT_LOCATED_AT
E000368,L000265,发生在,0.9,EVENT_LOCATED_AT
E000371,L000227,发生在,0.9,EVENT_LOCATED_AT
E000373,L000267,发生在,0.9,EVENT_LOCATED_AT
E000381,L000273,发生在,0.9,EVENT_LOCATED_AT
E000388,L000274,发生在,0.9,EVENT_LOCATED_AT
E000392,L000275,发生在,0.9,EVENT_LOCATED_AT
E000404,L000443,发生在,0.9,EVENT_LOCATED_AT
E000408,L000276,发生在,0.9,EVENT_LOCATED_AT
E000409,L000277,发生在,0.9,EVENT_LOCATED_AT
E000412,L000278,发生在,0.9,EVENT_LOCATED_AT
