:START_ID,:END_ID,relation,confidence:float,:TYPE
E000001,T000001,发生于,0.9,EVENT_OCCURS_AT
E000002,T000002,发生于,0.9,EVENT_OCCURS_AT
E000003,T000003,发生于,0.9,EVENT_OCCURS_AT
E000004,T000006,发生于,0.9,EVENT_OCCURS_AT
E000005,T000007,发生于,0.9,EVENT_OCCURS_AT
E000006,T000005,发生于,0.9,EVENT_OCCURS_AT
E000007,T000013,发生于,0.95,EVENT_OCCURS_AT
E000008,T000014,发生于,0.95,EVENT_OCCURS_AT
E000009,T000015,发生于,0.95,EVENT_OCCURS_AT
E000010,T000016,发生于,0.95,EVENT_OCCURS_AT
E000011,T000017,发生于,0.95,EVENT_OCCURS_AT
E000013,T001001,发生于,0.95,EVENT_OCCURS_AT
E000016,T000020,发生于,0.9,EVENT_OCCURS_AT
E000019,T001026,发生于,0.95,EVENT_OCCURS_AT
E000020,T000023,发生于,0.95,EVENT_OCCURS_AT
E000034,T000041,发生于,0.9,EVENT_OCCURS_AT
E000035,T000042,发生于,0.9,EVENT_OCCURS_AT
E000036,T000043,发生于,0.9,EVENT_OCCURS_AT
E000037,T000044,发生于,0.9,EVENT_OCCURS_AT
E000038,T000048,发生于,0.9,EVENT_OCCURS_AT
E000039,T000049,发生于,0.9,EVENT_OCCURS_AT
E000041,T000053,发生于,0.9,EVENT_OCCURS_AT
E000042,T000055,发生于,0.9,EVENT_OCCURS_AT
E000043,T000057,发生于,0.9,EVENT_OCCURS_AT
E000047,T000082,发生于,0.9,EVENT_OCCURS_AT
E000048,T000082,发生于,0.9,EVENT_OCCURS_AT
E000052,T000003,发生于,0.9,EVENT_OCCURS_AT
E000053,T000064,发生于,0.9,EVENT_OCCURS_AT
E000054,T000065,发生于,0.9,EVENT_OCCURS_AT
E000055,T000066,发生于,0.9,EVENT_OCCURS_AT
E000056,T000067,发生于,0.9,EVENT_OCCURS_AT
E000057,T000069,发生于,0.9,EVENT_OCCURS_AT
E000061,T000072,发生于,0.9,EVENT_OCCURS_AT
E000062,T000073,发生于,0.95,EVENT_OCCURS_AT
