:START_ID,:END_ID,relation,time,place,evidence,confidence:float,:TYPE
P000001,E000001,撰写者,宋代,,宋[[作者:王溥|王溥]]撰,0.9,PERSON_EVENT
P000016,E000024,撰寫,開成五年後,,哀册文，{{*|中書侍郎平章事崔鄲撰。}},0.95,PERSON_EVENT
P000031,E000021,執行者,天祐元年甲子八月,東都椒殿,梁王密令蔣玄暉等弒于東都椒殿。,0.95,PERSON_EVENT
P000038,E000027,发起奏议,大曆十四年七月,,顏眞卿上言,0.95,PERSON_EVENT
P000006,E000028,颁布,興元元年正月,奉天,上在奉天，頒罪己之詔,0.95,PERSON_EVENT
P000006,E000032,主导,大中三年十二月二十五日,宣政殿,上御宣政殿，百僚拜訖，乃降階受玉册,0.95,PERSON_EVENT
P000012,E000102,下令执行,開成三年二月,,文宗以旱出宮人劉好奴等五百餘人,0.9,PERSON_EVENT
P000138,E000133,victim,大足元年,,大足元年，爲人所搆與其妹永泰郡主之夫魏王武延基等竊議張易之兄弟何得恣入宮中，則天命杖殺之，年十八,0.9,PERSON_EVENT
P000001,E000198,作者,宋代,,author=王溥,0.9,PERSON_EVENT
P000005,E000225,主导者,大业十三年五月,太原,五月甲子，高祖及威、君雅視事……遂殺之以起兵。遣劉文靜使突厥，約連和。,0.9,PERSON_EVENT
P000006,E000234,主导,武德九年六月,玄武門,九年六月，太宗以兵入玄武門，殺太子建成及齊王元吉,0.9,PERSON_EVENT
P000334,E000262,被罷免,弘道元年十二月癸未,,郭正一罷,0.9,PERSON_EVENT
P000333,E000315,参与,垂拱二年四月庚辰,,四月庚辰，岑長倩為內史。,0.9,PERSON_EVENT
P000358,E000316,参与,垂拱二年五月丙午,,五月丙午，裴居道為內史。,0.9,PERSON_EVENT
P000361,E000317,参与,垂拱二年六月辛未,,六月辛未，蘇良嗣同鳳閣鸞臺三品。,0.9,PERSON_EVENT
P000359,E000318,参与,垂拱二年六月己卯,,己卯，韋思謙守納言。,0.9,PERSON_EVENT
P000348,E000324,主导,垂拱三年二月丙辰,昌平,突厥寇昌平，黑齒常之擊之,0.9,PERSON_EVENT
P000348,E000335,主导,垂拱三年八月,朔州,突厥寇朔州，燕然道行軍大總管黑齒常之敗之,0.9,PERSON_EVENT
P000006,E000453,受害者,長壽二年臘月癸亥,,二年臘月癸亥，殺皇嗣妃劉氏、德妃竇氏。,0.9,PERSON_EVENT
P000010,E000453,受害者,長壽二年臘月癸亥,,二年臘月癸亥，殺皇嗣妃劉氏、德妃竇氏。,0.9,PERSON_EVENT
P000471,E000456,受害者,長壽二年一月甲寅,,甲寅，殺尚方監裴匪躬、內常侍范雲仙。,0.9,PERSON_EVENT
