:START_ID,:END_ID,relation,time,place,evidence,confidence:float,:TYPE
P000011,OFFICE_宰相,担任,高祖时期,,宰相十六人：秦王、裴寂、劉文靜、蕭瑀...,0.9,PERSON_OFFICE
P000033,OFFICE_宰相,擔任,文宗朝（寶曆二年至開成五年）,,宰相二十四人：杜元穎、王播、李逢吉、牛僧孺、竇易直、裴度、韋處厚、楊嗣復、李珏、路隨、李宗閔、段文昌、宋申錫、李德裕、李固言、鄭覃、王涯、李訓、賈餗、舒元輿、李石、陳夷行、崔珙、崔鄲。,0.9,PERSON_OFFICE
P000034,OFFICE_宰相,擔任,文宗、武宗、宣宗朝,,"['宰相二十四人：...李德裕...', '宰相十五人：...李德裕...', '宰相二十三人：...李德裕...']",0.9,PERSON_OFFICE
P000035,OFFICE_使相,擔任,文宗、武宗朝,,"['使相五人：...劉從諫。', '使相四人：劉從諫、...']",0.9,PERSON_OFFICE
P000037,OFFICE_使相,擔任,僖宗、昭宗朝,,"['使相六十人：...朱全忠...', '使相三十九人：...朱全忠...']",0.9,PERSON_OFFICE
P000038,OFFICE_吏部尚書,担任,大曆十四年七月,,禮儀使、吏部尚書顏眞卿上言,0.95,PERSON_OFFICE
P000038,OFFICE_禮儀使,担任,大曆十四年七月,,禮儀使、吏部尚書顏眞卿上言,0.95,PERSON_OFFICE
P000039,OFFICE_兵部侍郎,担任,大曆十四年七月,,兵部侍郎袁傪,0.95,PERSON_OFFICE
P000006,OFFICE_代王,封爵,永徽四年正月,,永徽四年正月封代王,0.9,PERSON_OFFICE
P000006,OFFICE_皇太子,册封,顯慶元年,,顯慶元年，册爲皇太子,0.9,PERSON_OFFICE
P000006,OFFICE_皇帝,即位,景龍四年六月七日,,七日，卽帝位,0.9,PERSON_OFFICE
P000006,OFFICE_溫王,降封,景龍四年六月二十四日,,二十四日，讓位于睿宗，降封溫王,0.9,PERSON_OFFICE
P000070,OFFICE_中書舍人,任职,永徽五年,,永徽五年，中書舍人李義府上表請廢王皇后,0.9,PERSON_OFFICE
P000073,OFFICE_侍中,任职,神龍元年十二月,,初，神龍元年十二月，侍中桓彥範上表曰,0.9,PERSON_OFFICE
P000077,OFFICE_大理少卿,任职,開元四年正月,,大理少卿李衢奏,0.95,PERSON_OFFICE
P000080,OFFICE_太常少卿,任职,元和十一年三月,,太常少卿韋纁進諡議,0.95,PERSON_OFFICE
P000081,OFFICE_宰相,任职,元和十一年,,宰相禮儀使裴度獻議,0.9,PERSON_OFFICE
P000081,OFFICE_禮儀使,任职,元和十一年,,宰相禮儀使裴度獻議,0.9,PERSON_OFFICE
P000082,OFFICE_西川節度使,任职,元和十一年四月,,西川節度使李儀簡遣使往南詔告皇太后哀,0.95,PERSON_OFFICE
P000083,OFFICE_左金吾衞大將軍,曾任,元和十五年五月（追述）,,故左金吾衞大將軍王用,0.9,PERSON_OFFICE
P000006,OFFICE_昭宗皇后,身份,天祐元年九月（册封前）,,冊昭宗皇后何氏爲皇太后,0.95,PERSON_OFFICE
P000006,OFFICE_順宗皇后,身份,元和十一年三月,咸寧殿,順宗皇后王氏崩於南內之咸寧殿,0.95,PERSON_OFFICE
P000088,OFFICE_淑妃,担任,懿宗时期,,['懿宗淑妃郭氏'],0.9,PERSON_OFFICE
P000090,OFFICE_婕妤,担任,,,['婕妤崔氏'],0.9,PERSON_OFFICE
P000006,OFFICE_婕妤,担任,,,['婕妤崔氏、王氏'],0.9,PERSON_OFFICE
P000091,OFFICE_侍中,擔任,永徽六年十月,,侍中韓瑗、中書令來濟奏言,0.9,PERSON_OFFICE
P000092,OFFICE_中書令,擔任,永徽六年十月,,侍中韓瑗、中書令來濟奏言,0.9,PERSON_OFFICE
P000093,OFFICE_太常卿,擔任,貞元六年七月九日,,貞元六年七月九日，太常卿崔縱奏,0.9,PERSON_OFFICE
P000094,OFFICE_吏部郎中,擔任,貞元六年七月,,其月，吏部郎中柳冕署狀,0.9,PERSON_OFFICE
P000110,OFFICE_中書舍人,担任,貞觀二年春三月,,中書舍人李百藥上封事曰,0.9,PERSON_OFFICE
P000111,OFFICE_尚書左丞,担任,貞觀二年七月三日,,命尚書左丞戴冑、給事中杜正倫等,0.9,PERSON_OFFICE
P000112,OFFICE_給事中,担任,貞觀二年七月三日,,命尚書左丞戴冑、給事中杜正倫等,0.9,PERSON_OFFICE
P000017,OFFICE_宰相,担任,開成三年二月,紫宸,宰相李珏曰,0.9,PERSON_OFFICE
P000041,OFFICE_宰相,担任,開成三年二月,紫宸,宰相鄭覃曰,0.9,PERSON_OFFICE
P000120,OFFICE_门下侍郎,任职,贞观二十年,,門下侍郎兼太子賓客褚遂良上疏諫曰,0.9,PERSON_OFFICE
P000120,OFFICE_太子宾客,任职,贞观二十年,,門下侍郎兼太子賓客褚遂良上疏諫曰,0.9,PERSON_OFFICE
P000150,OFFICE_國子監丞,担任,,,國子監丞裴粹,0.9,PERSON_OFFICE
P000156,OFFICE_駙马都尉,担任,,,駙馬都尉裴虛己,0.9,PERSON_OFFICE
P000153,OFFICE_万年尉,担任,,,萬年尉劉廷琦,0.9,PERSON_OFFICE
P000154,OFFICE_太祝,担任,,,太祝張諤,0.9,PERSON_OFFICE
P000157,OFFICE_太子太傅,担任,貞觀十七年十一月二十八日,,['太子太傅蕭瑀曰'],0.9,PERSON_OFFICE
P000159,OFFICE_郎中,担任,永淳元年三月十五日,,['郎中王方慶'],0.9,PERSON_OFFICE
P000006,OFFICE_皇嗣,曾任,聖曆初前,,聖曆初，皇嗣封爲相王...,0.9,PERSON_OFFICE
P000006,OFFICE_太子,担任,中宗时,,衞王重俊爲太子，又與成王千里等起兵...,0.95,PERSON_OFFICE
P000165,OFFICE_絳州刺史,任職,,絳州,後改封霍王，爲絳州刺史,0.95,PERSON_OFFICE
P000165,OFFICE_定州刺史,任職,,定州,爲定州刺史，有突厥來寇,0.95,PERSON_OFFICE
P000173,OFFICE_文學館學士召集者,主持,,,特令就府別置文學館，任自引召學士,0.9,PERSON_OFFICE
P000117,OFFICE_秘書監,任职,貞觀五年,,秘書監魏徵諫曰,0.9,PERSON_OFFICE
P000197,OFFICE_侍中,任职,貞觀十一年,,侍中王珪子敬直尚南平公主,0.9,PERSON_OFFICE
P000202,OFFICE_侍中,任职,永徽元年,,侍中于志寧上疏曰,0.9,PERSON_OFFICE
P000258,OFFICE_骁卫大将军,担任,景龙四年正月二十七日,,['以骁卫大将军杨矩为使'],0.9,PERSON_OFFICE
P000259,OFFICE_侍中,担任,景龙四年正月二十七日,,['上初谓侍中纪处讷曰'],0.9,PERSON_OFFICE
P000260,OFFICE_中书侍郎,担任,景龙四年正月二十七日,,['上又使中书侍郎赵彦昭代行'],0.9,PERSON_OFFICE
P000261,OFFICE_司农卿,担任,景龙四年正月二十七日,,['司农卿赵履温谓之曰'],0.9,PERSON_OFFICE
P000262,OFFICE_工部尚书,担任,开元二十一年正月,,['命工部尚书李暠持节于吐蕃'],0.9,PERSON_OFFICE
P000266,OFFICE_太常卿,担任,贞元二年四月二十九日,,['贞元二年四月二十九日，太常卿董晋奏'],0.9,PERSON_OFFICE
P000268,OFFICE_殿中监,担任,贞元年间,,['以殿中监嗣滕王湛然为送咸安公主使'],0.9,PERSON_OFFICE
P000269,OFFICE_左金吾大将军,担任,长庆元年,,['诏左金吾大将军胡证充送公主为回纥可敦归国及加册可汗等使'],0.9,PERSON_OFFICE
P000281,OFFICE_兗州刺史,擔任,,,兗州刺史薛胄,0.95,PERSON_OFFICE
P000117,OFFICE_秘書監,擔任,貞觀中,,秘書監魏徵曰,0.95,PERSON_OFFICE
P000283,OFFICE_祕書少監,擔任,貞觀十一年,,祕書少監顏師古乃奏稱,0.95,PERSON_OFFICE
P000006,OFFICE_利州都督,擔任,貞觀五年,,朝集使利州都督武士彠等,0.95,PERSON_OFFICE
P000286,OFFICE_中书令,担任,开元十二年,,中書令臣說等奏,0.95,PERSON_OFFICE
P000287,OFFICE_侍中,担任,开元十二年,,侍中臣乾曜、中書令臣說等奏,0.95,PERSON_OFFICE
P000069,OFFICE_太尉,擔任,永徽二年,,太尉長孫無忌等。與禮官議。,0.95,PERSON_OFFICE
P000293,OFFICE_國子祭酒,擔任,景龍三年,,國子祭酒祝欽明。希庶人旨。建議請皇后為亞獻。,0.95,PERSON_OFFICE
P000307,OFFICE_太常卿,担任,廣德二年,,禮儀使杜鴻漸奏。,0.9,PERSON_OFFICE
P000308,OFFICE_太常博士,担任,廣德二年,,太常博士獨孤及獻議曰。,0.9,PERSON_OFFICE
P000055,OFFICE_礼部尚书,担任,高宗显庆二年,,高宗顯慶二年。禮部尚書許敬宗。與禮官等議曰。六天出于緯書。而南郊圜丘一也。...唐書禮樂志。,0.9,PERSON_OFFICE
P000005,OFFICE_太原留守,担任,大业十三年,太原,十三年，拜太原留守,0.9,PERSON_OFFICE
P000006,OFFICE_右领军大都督,担任,大业十三年六月,太原,世民為燉煌公、右領軍大都督，右軍隸焉,0.9,PERSON_OFFICE
P000006,OFFICE_秦王,受封,武德元年,,武德元年，為尚書令、右翊衞大將軍，進封秦王,0.9,PERSON_OFFICE
P000006,OFFICE_皇太子,被立為,貞觀十七年,,乃立子治為皇太子。,0.95,PERSON_OFFICE
P000069,OFFICE_太尉,任命,貞觀二十三年六月癸未,,癸未，長孫无忌為太尉。,0.95,PERSON_OFFICE
P000071,OFFICE_開府儀同三司,任命,貞觀二十三年六月癸巳,,癸巳，檢校洛州刺史李勣為開府儀同三司，參掌機密。,0.95,PERSON_OFFICE
P000096,OFFICE_太尉,擔任,弘道元年十二月庚午,,韓王元嘉為太尉,0.9,PERSON_OFFICE
P000165,OFFICE_司徒,擔任,弘道元年十二月庚午,,霍王元軌為司徒,0.9,PERSON_OFFICE
P000169,OFFICE_司空,擔任,弘道元年十二月庚午,,舒王元名為司空,0.9,PERSON_OFFICE
P000328,OFFICE_尚書左僕射,擔任,弘道元年十二月甲戌,,劉仁軌為尚書左僕射,0.9,PERSON_OFFICE
P000329,OFFICE_中書令,擔任,弘道元年十二月甲戌,,裴炎為中書令,0.9,PERSON_OFFICE
P000330,OFFICE_侍中,擔任,弘道元年十二月甲戌,,劉齊賢為侍中,0.9,PERSON_OFFICE
P000330,OFFICE_同中書門下三品,加銜,弘道元年十二月甲戌,,同中書門下三品,0.9,PERSON_OFFICE
P000331,OFFICE_同中書門下三品,擔任,弘道元年十二月戊寅,,郭待舉、魏玄同、岑長倩同中書門下三品,0.9,PERSON_OFFICE
P000332,OFFICE_同中書門下三品,擔任,弘道元年十二月戊寅,,郭待舉、魏玄同、岑長倩同中書門下三品,0.9,PERSON_OFFICE
P000333,OFFICE_同中書門下三品,擔任,弘道元年十二月戊寅,,郭待舉、魏玄同、岑長倩同中書門下三品,0.9,PERSON_OFFICE
P000335,OFFICE_太府卿,任职,684年正月癸巳,,癸巳，左散騎常侍韋弘敏為太府卿、同中書門下三品。,0.9,PERSON_OFFICE
P000006,OFFICE_皇后,册立,684年二月己未,,妃劉氏為皇后,0.9,PERSON_OFFICE
P000006,OFFICE_皇太子,册立,684年二月己未,,立永平郡王成器為皇太子。,0.9,PERSON_OFFICE
P000341,OFFICE_單于道安撫大使,任命,684年九月丙辰,,左威衞大將軍程務挺為單于道安撫大使,0.9,PERSON_OFFICE
P000344,OFFICE_揚州道行軍大總管,任命,684年十月甲申,,左玉鈐衞大將軍梁郡公孝逸為揚州道行軍大總管,0.9,PERSON_OFFICE
P000345,OFFICE_副總管,任命,684年十月甲申,,左金吾衞大將軍李知十為副,0.9,PERSON_OFFICE
P000346,OFFICE_同鳳閣鸞臺三品,任职,684年十月丁亥,,左肅政臺御史大夫騫味道檢校內史、同鳳閣鸞臺三品,0.9,PERSON_OFFICE
P000347,OFFICE_同鳳閣鸞臺平章事,任职,684年十月丁亥,,鳳閣舍人李景諶同鳳閣鸞臺平章事。,0.9,PERSON_OFFICE
P000348,OFFICE_江南道行軍大總管,任命,684年十一月辛亥,,左鷹揚衞大將軍黑齒常之為江南道行軍大總管。,0.9,PERSON_OFFICE
P000351,OFFICE_同鳳閣鸞臺平章事,任职,684年十一月丁卯,,鸞臺侍郎韋方質為鳳閣侍郎、同鳳閣鸞臺平章事。,0.9,PERSON_OFFICE
P000352,OFFICE_同鳳閣鸞臺平章事,任职,684年十月丁酉,,右史沈君諒、著作郎崔詧為正諫大夫、同鳳閣鸞臺平章事。,0.9,PERSON_OFFICE
P000353,OFFICE_同鳳閣鸞臺平章事,任职,684年十月丁酉,,右史沈君諒、著作郎崔詧為正諫大夫、同鳳閣鸞臺平章事。,0.9,PERSON_OFFICE
P000346,OFFICE_內史,守,垂拱元年正月庚戌,,庚戌，騫味道守內史。,0.9,PERSON_OFFICE
P000346,OFFICE_青州刺史,貶為,垂拱元年四月丙子,,四月丙子，貶騫味道為青州刺史。,0.9,PERSON_OFFICE
P000006,OFFICE_同鳳閣鸞臺三品,同,垂拱元年二月乙巳,,二月乙巳，春官尚書武承嗣、秋官尚書裴居道、右肅政臺御史大夫韋思謙同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000358,OFFICE_同鳳閣鸞臺三品,同,垂拱元年二月乙巳,,二月乙巳，春官尚書武承嗣、秋官尚書裴居道、右肅政臺御史大夫韋思謙同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000359,OFFICE_同鳳閣鸞臺三品,同,垂拱元年二月乙巳,,二月乙巳，春官尚書武承嗣、秋官尚書裴居道、右肅政臺御史大夫韋思謙同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000006,OFFICE_春官尚書,擔任,垂拱元年二月乙巳,,二月乙巳，春官尚書武承嗣、秋官尚書裴居道、右肅政臺御史大夫韋思謙同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000358,OFFICE_秋官尚書,擔任,垂拱元年二月乙巳,,二月乙巳，春官尚書武承嗣、秋官尚書裴居道、右肅政臺御史大夫韋思謙同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000359,OFFICE_右肅政臺御史大夫,擔任,垂拱元年二月乙巳,,二月乙巳，春官尚書武承嗣、秋官尚書裴居道、右肅政臺御史大夫韋思謙同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000358,OFFICE_納言,為,垂拱元年五月丙午,,五月丙午，裴居道為納言。,0.9,PERSON_OFFICE
P000361,OFFICE_納言,守,垂拱元年五月己酉,,己酉，冬官尚書蘇良嗣守納言。,0.9,PERSON_OFFICE
P000351,OFFICE_同鳳閣鸞臺三品,同,垂拱元年五月壬申,,壬申，韋方質同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000362,OFFICE_同鳳閣鸞臺三品,同,垂拱元年六月,,六月，天官尚書韋待價同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000362,OFFICE_燕然道行軍大總管,為,垂拱元年十一月癸卯,,十一月癸卯，韋待價為燕然道行軍大總管，以擊突厥。,0.9,PERSON_OFFICE
P000333,OFFICE_內史,担任,垂拱二年四月庚辰,,四月庚辰，岑長倩為內史。,0.9,PERSON_OFFICE
P000358,OFFICE_內史,担任,垂拱二年五月丙午,,五月丙午，裴居道為內史。,0.9,PERSON_OFFICE
P000361,OFFICE_同鳳閣鸞臺三品,担任,垂拱二年六月辛未,,六月辛未，蘇良嗣同鳳閣鸞臺三品。,0.9,PERSON_OFFICE
P000359,OFFICE_守納言,担任,垂拱二年六月己卯,,己卯，韋思謙守納言。,0.9,PERSON_OFFICE
P000006,OFFICE_楚王,受封,垂拱三年閏正月丁卯,,封皇帝子隆基為楚王,0.9,PERSON_OFFICE
P000363,OFFICE_衞王,受封,垂拱三年閏正月丁卯,,隆範衞王,0.9,PERSON_OFFICE
P000364,OFFICE_趙王,受封,垂拱三年閏正月丁卯,,隆業趙王,0.9,PERSON_OFFICE
P000358,OFFICE_納言,任职,垂拱三年四月壬戌,,裴居道為納言,0.9,PERSON_OFFICE
P000365,OFFICE_鳳閣侍郎,任职,垂拱三年五月丙寅,,夏官侍郎張光輔為鳳閣侍郎、同鳳閣鸞臺平章事,0.9,PERSON_OFFICE
P000365,OFFICE_同鳳閣鸞臺平章事,任职,垂拱三年五月丙寅,,夏官侍郎張光輔為鳳閣侍郎、同鳳閣鸞臺平章事,0.9,PERSON_OFFICE
