:START_ID,:END_ID,relation,confidence:float,:TYPE
P000001,E000001,参与,0.9,PERSON_PARTICIPATES_EVENT
P000002,E000002,参与,0.9,PERSON_PARTICIPATES_EVENT
P000002,E000003,参与,0.9,PERSON_PARTICIPATES_EVENT
P000005,E000004,参与,0.9,PERSON_PARTICIPATES_EVENT
P000005,E000005,参与,0.9,PERSON_PARTICIPATES_EVENT
P000012,E000007,参与,0.95,PERSON_PARTICIPATES_EVENT
P000012,E000008,参与,0.95,PERSON_PARTICIPATES_EVENT
P000012,E000009,参与,0.95,PERSON_PARTICIPATES_EVENT
P000012,E000010,参与,0.95,PERSON_PARTICIPATES_EVENT
P000012,E000011,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000012,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000013,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000014,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000015,参与,0.95,PERSON_PARTICIPATES_EVENT
P000013,E000016,参与,0.9,PERSON_PARTICIPATES_EVENT
P000013,E000017,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000018,参与,0.95,PERSON_PARTICIPATES_EVENT
P000014,E000019,参与,0.95,PERSON_PARTICIPATES_EVENT
P000014,E000020,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000021,参与,0.95,PERSON_PARTICIPATES_EVENT
P000031,E000021,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000021,参与,0.95,PERSON_PARTICIPATES_EVENT
P000015,E000022,参与,0.95,PERSON_PARTICIPATES_EVENT
P000015,E000023,参与,0.85,PERSON_PARTICIPATES_EVENT
P000016,E000024,参与,0.95,PERSON_PARTICIPATES_EVENT
P000038,E000027,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000027,参与,0.95,PERSON_PARTICIPATES_EVENT
P000039,E000027,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000028,参与,0.95,PERSON_PARTICIPATES_EVENT
P000040,E000030,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000030,参与,0.95,PERSON_PARTICIPATES_EVENT
P000041,E000031,参与,0.95,PERSON_PARTICIPATES_EVENT
P000042,E000031,参与,0.95,PERSON_PARTICIPATES_EVENT
P000043,E000031,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000031,参与,0.95,PERSON_PARTICIPATES_EVENT
P000006,E000032,参与,0.95,PERSON_PARTICIPATES_EVENT
P000044,E000032,参与,0.95,PERSON_PARTICIPATES_EVENT
P000045,E000033,参与,0.9,PERSON_PARTICIPATES_EVENT
P000046,E000033,参与,0.9,PERSON_PARTICIPATES_EVENT
P000048,E000033,参与,0.9,PERSON_PARTICIPATES_EVENT
P000049,E000033,参与,0.9,PERSON_PARTICIPATES_EVENT
P000015,E000033,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000034,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000035,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000036,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000037,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000038,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000039,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000039,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000040,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000041,参与,0.9,PERSON_PARTICIPATES_EVENT
P000053,E000042,参与,0.9,PERSON_PARTICIPATES_EVENT
P000054,E000043,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000044,参与,0.9,PERSON_PARTICIPATES_EVENT
P000055,E000044,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000045,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000046,参与,0.9,PERSON_PARTICIPATES_EVENT
P000056,E000046,参与,0.9,PERSON_PARTICIPATES_EVENT
P000057,E000046,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000046,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000047,参与,0.9,PERSON_PARTICIPATES_EVENT
P000006,E000048,参与,0.9,PERSON_PARTICIPATES_EVENT
P000058,E000048,参与,0.9,PERSON_PARTICIPATES_EVENT
P000059,E000048,参与,0.9,PERSON_PARTICIPATES_EVENT
