:START_ID,:END_ID,relation,time,place,evidence,confidence:float,:TYPE
P000002,L000001,葬于,咸亨五年八月十五日,,葬建初陵。,0.9,PERSON_PLACE
P000005,L000206,受禅于,隋義寧二年五月二十日,,受禪於太極殿。,0.9,PERSON_PLACE
P000012,L000006,崩逝地點,開成五年正月四日,太和殿,崩于大明宮之太和殿。,0.95,PERSON_PLACE
P000012,L000012,葬地,開成五年八月,京兆府富平縣,八月，葬章陵。{{*|在京兆府富平縣界。}},0.95,PERSON_PLACE
P000006,L000013,葬地,會昌六年八月,京兆府三原縣,八月，葬端陵。{{*|在京兆府三原縣界。}},0.95,PERSON_PLACE
P000013,L000014,葬地,大中十四年二月,京兆府雲陽縣,大中十四年二月庚辰，葬貞陵。{{*|在京兆府雲陽縣界。}},0.95,PERSON_PLACE
P000006,L000015,葬地,乾符元年二月,京兆府富平縣,乾符元年二月甲午，葬簡陵。{{*|在京兆府富平縣界。}},0.95,PERSON_PLACE
P000014,L000016,葬地,文德元年十二月,京兆府奉天縣,十二月，葬靖陵。{{*|在京兆府奉天縣界。}},0.95,PERSON_PLACE
P000006,L000017,葬地,天祐元年後,河南府緱縣,葬和陵。{{*|在河南府緱縣界。}},0.9,PERSON_PLACE
P000015,L000018,葬地,天祐五年後,濟陰,葬濟陰之定陶鄉。,0.85,PERSON_PLACE
P000006,L000026,驻跸,興元元年正月,,上在奉天,0.95,PERSON_PLACE
P000006,L000032,薨于,上元二年四月二十五日,合璧宮倚雲殿,薨于合璧宮倚雲殿,0.9,PERSON_PLACE
P000006,L000033,薨于,開元二年四月,房州,薨于房州,0.9,PERSON_PLACE
P000006,L000034,安置于,景雲二年正月,集州,集州安置,0.9,PERSON_PLACE
P000006,L000035,葬于,開元二十九年,惠陵,葬惠陵,0.9,PERSON_PLACE
P000053,L000036,葬于,肅宗元年,齊陵,葬齊陵,0.9,PERSON_PLACE
P000054,L000785,葬于,大曆三年,順陵,葬順陵,0.9,PERSON_PLACE
P000006,L000049,出家,太宗崩后,感業寺,太宗崩，隨嬪御之例出家，爲尼感業寺。,0.9,PERSON_PLACE
P000006,L000052,徙居,神龍元年正月二十六日,上陽宮,二十六日，徙居上陽宮。,0.9,PERSON_PLACE
P000006,L000067,守喪於,元和四年,崇陵,崇陵復土畢，於園寢終三年之制，至是卒,0.9,PERSON_PLACE
P000006,L000143,活動涉及,天祐二年十二月,,今後每遇延英坐朝日，只令小黃門祇候引從,0.9,PERSON_PLACE
P000113,L000075,被送至,開成三年二月,,送兩街寺觀，任歸親戚,0.9,PERSON_PLACE
P000116,L000080,居住,贞观二十年,,令太子居之，絕不遣往東宮,0.9,PERSON_PLACE
P000138,L000087,出生地,永淳元年,,懿德太子生於東宮內殿,0.9,PERSON_PLACE
P000006,L000033,迁居地,,,及中宗遷于房州,0.9,PERSON_PLACE
P000138,L000053,陪葬地,中宗即位时,,陪葬乾陵,0.9,PERSON_PLACE
P000156,L000088,流放地,,,配徙嶺外,0.9,PERSON_PLACE
P000173,L000010,居所,貞觀十六年四月,武德殿,貞觀十六年四月，詔泰移居武德殿,0.95,PERSON_PLACE
P000193,L000788,起兵地点,義兵起,,公主于鄠縣莊散家資招引山中亡命,0.9,PERSON_PLACE
P000193,L000137,会师地点,義軍渡河后,,公主引精兵萬餘與太宗會于渭北,0.9,PERSON_PLACE
P000006,L000157,巡幸,景龙四年正月二十七日,,['幸始平县'],0.9,PERSON_PLACE
P000229,L000160,关联地点（树碑定界）,开元二十一年,,['金城公主上言，请以今年九月一日，树碑于赤岭，定蕃、汉界'],0.9,PERSON_PLACE
P000006,L000717,計劃親臨,貞觀十五年,,詔以來歲二月有事於泰山,0.9,PERSON_PLACE
P000006,L000717,亲临祭祀,开元十三年十一月,泰山,庚寅，祀昊天上帝於山上封臺之前壇，高祖神堯皇帝配享焉,0.95,PERSON_PLACE
P000005,L000186,配祀,武德初,圜丘,武德初定令。每歲冬至。祀昊天上帝于圜丘。以景帝配。,0.9,PERSON_PLACE
P000006,L000188,配祀,永徽二年後,明堂,于是以高祖配于圜丘。太宗配于明堂。,0.9,PERSON_PLACE
P000006,L000027,亲祀地点,貞元元年十一月癸卯,,上親祀昊天上帝于圜丘。,0.9,PERSON_PLACE
P000005,L000802,出生地,北周天和元年（566年）,长安,仁公生高祖於長安,0.9,PERSON_PLACE
P000006,L000203,作战,义宁年间,霍邑,唐兵西，將至霍邑...老生兵敗走，遂斬之,0.9,PERSON_PLACE
P000006,L000220,拜謁,永徽六年正月壬申,昭陵,六年正月壬申，拜昭陵，赦醴泉及行從,0.95,PERSON_PLACE
P000006,L000049,居住,太宗崩后,,居于感業寺,0.9,PERSON_PLACE
P000006,L000033,迁徙至,684年四月癸酉,,遷廬陵王于房州,0.9,PERSON_PLACE
P000006,L000228,迁徙至,684年四月丁丑,,又遷于均州。,0.9,PERSON_PLACE
P000006,L000033,遷于,垂拱元年三月丙辰,,丙辰，遷廬陵王于房州。,0.9,PERSON_PLACE
P000336,L000240,流于,垂拱元年五月丁未,,丁未，流王德真于象州。,0.9,PERSON_PLACE
P000346,L000955,貶至,垂拱元年四月丙子,,四月丙子，貶騫味道為青州刺史。,0.9,PERSON_PLACE
P000366,L000251,籍贯,,,交趾人李嗣仙,0.9,PERSON_PLACE
P000369,L000253,籍贯,,,虢州人楊初成,0.9,PERSON_PLACE
P000098,L000259,举兵地点,垂拱四年八月庚戌,豫州,越王貞舉兵于豫州以討亂,0.9,PERSON_PLACE
P000391,L000227,流放地,永昌元年七月丁巳,,流紀王慎于巴州，改其姓為虺氏,0.9,PERSON_PLACE
P000362,L000266,流放地,永昌元年七月丙子,,流韋待價于繡州,0.9,PERSON_PLACE
P000351,L000273,流放至,天授元年一月甲午日,,流韋方質于儋州,0.9,PERSON_PLACE
P000169,L000274,流放至,天授元年七月辛巳日,,流舒王元名于和州,0.9,PERSON_PLACE
P000436,L000277,贬谪至,天授元年十月甲子日,,貶宗秦客為遵化尉,0.9,PERSON_PLACE
P000405,L000278,贬谪至,天授元年十月辛未日,,貶邢文偉為珍州刺史,0.9,PERSON_PLACE
P000455,L000294,貶謫地,長壽元年一月庚午,,庚午，貶任知古為江夏令，狄仁傑彭澤令。,0.95,PERSON_PLACE
P000457,L000295,貶謫地,長壽元年一月庚午,,庚午，貶任知古為江夏令，狄仁傑彭澤令。,0.95,PERSON_PLACE
P000456,L000260,流放地,長壽元年一月庚午,,流裴行本于嶺南。,0.95,PERSON_PLACE
P000461,L000260,流放地,長壽元年九月癸丑,,癸丑，流李遊道、袁智弘、王璿、崔神基、李元素于嶺南。,0.95,PERSON_PLACE
P000462,L000260,流放地,長壽元年九月癸丑,,癸丑，流李遊道、袁智弘、王璿、崔神基、李元素于嶺南。,0.95,PERSON_PLACE
P000467,L000260,流放地,長壽元年九月癸丑,,癸丑，流李遊道、袁智弘、王璿、崔神基、李元素于嶺南。,0.95,PERSON_PLACE
P000468,L000260,流放地,長壽元年九月癸丑,,癸丑，流李遊道、袁智弘、王璿、崔神基、李元素于嶺南。,0.95,PERSON_PLACE
P000466,L000260,流放地,長壽元年九月癸丑,,癸丑，流李遊道、袁智弘、王璿、崔神基、李元素于嶺南。,0.95,PERSON_PLACE
P000469,L000147,征討,長壽元年十月丙戌,,十月丙戌，武威道行軍總管王孝傑敗吐蕃，克四鎮。,0.95,PERSON_PLACE
P000469,L000297,收復,長壽元年十月丙戌,,十月丙戌，武威道行軍總管王孝傑敗吐蕃，克四鎮。,0.95,PERSON_PLACE
P000482,L000306,作战地点,延載元年臘月甲戌,靈州,突厥默啜寇靈州。右鷹揚衞大將軍李多祚敗之,0.9,PERSON_PLACE
P000469,L000309,作战地点,延載元年二月己卯,冷泉,武威道大總管王孝傑及吐蕃戰于冷泉,0.9,PERSON_PLACE
P000463,L000312,流放地,延載元年八月戊寅,振州,流崔元綜于振州,0.9,PERSON_PLACE
P000464,L000313,贬谪地,延載元年九月壬寅,南賓,貶李昭德為南賓尉,0.9,PERSON_PLACE
P000478,L000317,贬所,证圣元年正月戊子日,,貶豆盧欽望為趙州刺史,0.9,PERSON_PLACE
P000295,L000318,贬所,证圣元年正月戊子日,,韋巨源鄜州刺史,0.9,PERSON_PLACE
P000486,L000319,贬所,证圣元年正月戊子日,,杜景佺溱州刺史,0.9,PERSON_PLACE
P000483,L000034,贬所,证圣元年正月戊子日,,蘇味道集州刺史,0.9,PERSON_PLACE
P000477,L000320,贬所,证圣元年正月戊子日,,陸元方綏州刺史,0.9,PERSON_PLACE
P000481,L000339,侵犯,神功元年正月癸亥,,癸亥，突厥默啜寇勝州，平狄軍副使安道買敗之。,0.9,PERSON_PLACE
P000470,L000342,安抚,神功元年六月辛卯,,辛卯，婁師德安撫河北。,0.9,PERSON_PLACE
P000006,L000033,位于,聖曆元年三月己巳,,召廬陵王于房州,0.9,PERSON_PLACE
P000527,L000357,贬所,久視元年正月戊午,,貶吉頊為琰川尉,0.9,PERSON_PLACE
P000532,L000360,作战地点,久視元年閏七月丁酉,,隴右諸軍州大使唐休璟敗之于洪源谷,0.9,PERSON_PLACE
P000531,L000363,流放至,長安元年三月丙申,循州,三月丙申，流張錫于循州。,0.9,PERSON_PLACE
P000536,L000794,负责军务,長安二年三月丙戌,山東,三月丙戌，李迥秀安置山東軍馬，檢校武騎兵。,0.9,PERSON_PLACE
P000537,L000794,防御辖区,長安二年三月庚寅,山東,庚寅，突厥寇幷州，雍州長史薛季昶持節山東防禦大使以備之。,0.9,PERSON_PLACE
P000538,L000373,任职地,長安二年十月戊申,茂州,戊申，吐蕃寇悉州，茂州都督陳大慈敗之。,0.9,PERSON_PLACE
P000538,L000372,作战地,長安二年十月戊申,悉州,戊申，吐蕃寇悉州，茂州都督陳大慈敗之。,0.9,PERSON_PLACE
P000208,L000376,被贬至,长安三年九月丁酉,,貶魏元忠為高要尉,0.9,PERSON_PLACE
P000536,L000378,贬所,长安四年二月癸亥,,二月癸亥，貶李迥秀為廬州刺史。,0.9,PERSON_PLACE
P000483,L000379,贬所,长安四年三月己亥,,己亥，貶蘇味道為坊州刺史。,0.9,PERSON_PLACE
P000515,L000333,贬所,长安四年七月甲午,,甲午，貶宗楚客為原州都督。,0.9,PERSON_PLACE
P000532,L000381,任职地,长安四年八月庚申,,八月庚申，唐休璟兼幽營二州都督、安東都護。,0.9,PERSON_PLACE
P000532,L000382,任职地,长安四年八月庚申,,八月庚申，唐休璟兼幽營二州都督、安東都護。,0.9,PERSON_PLACE
P000524,L000392,任职地,长安四年九月壬子,,九月壬子，姚元之為靈武道行軍大總管。,0.9,PERSON_PLACE
P000006,L000228,废居,嗣聖元年正月,均州,嗣聖元年正月，廢居于均州,0.9,PERSON_PLACE
P000006,L000033,迁居,,房州,又遷于房州,0.9,PERSON_PLACE
P000543,L000385,流放至,神龍元年二月甲寅,,流房融于高州,0.9,PERSON_PLACE
P000524,L000386,贬至,神龍元年二月丙寅,,貶譙王重福為濮州刺史,0.9,PERSON_PLACE
P000545,L000394,贬谪至,神龍二年六月戊寅,崖州,貶敬暉為崖州司馬,0.9,PERSON_PLACE
P000545,L000399,流放至,神龍二年七月辛未,嘉州,流敬暉于嘉州,0.9,PERSON_PLACE
P000513,L000404,作战于,神龍二年十二月己卯,鳴沙,戰于鳴沙,0.9,PERSON_PLACE
P000517,L000408,管辖,景龍二年七月癸巳,,七月癸巳，朔方道行軍大總管張仁亶同中書門下三品。,0.9,PERSON_PLACE
P000564,L000411,管辖,景龍二年,,安西都護牛師奬及西突厥戰于火燒城，死之。,0.9,PERSON_PLACE
P000563,L000152,出使,景龍二年十一月,,御史中丞馮嘉賓使于突厥，死之。,0.9,PERSON_PLACE
P000006,L000412,到访,景龙三年二月己丑,玄武门,三年二月己丑，及皇后幸玄武門，觀宮女拔河，為宮市以嬉。,0.9,PERSON_PLACE
P000006,L000413,到访,景龙三年二月壬子,太常寺,壬子，及皇后幸太常寺。,0.9,PERSON_PLACE
P000006,L000027,参与祭祀,景龙三年十一月乙丑,南郊,十一月乙丑，有事于南郊，以皇后為亞獻，大赦，賜文武官階、爵，入品者減考，免關內今歲賦，賜酺三日。,0.9,PERSON_PLACE
P000006,L000421,到访,景龍四年正月丙寅,,四年正月丙寅，及皇后微行以觀燈，遂幸蕭至忠第。,0.9,PERSON_PLACE
P000578,L000427,执掌国政,汉朝,,呂氏雖非篡漢，而盜執其國政,0.9,PERSON_PLACE
P000006,L000081,居所,武后时期,,以為皇嗣，居于東宮,0.99,PERSON_PLACE
P000006,L000196,即位地点,景云元年六月甲辰,,甲辰，安國相王即皇帝位于承天門,0.99,PERSON_PLACE
P000006,L000436,避難至,天寶十五載,,庚辰，次蜀郡。,0.9,PERSON_PLACE
P000006,L001171,即位地,至德元年七月甲子日,靈武,甲子，即皇帝位于靈武，尊皇帝曰上皇天帝，大赦，改元至德。,0.95,PERSON_PLACE
P000006,L000441,驻军,至德二载九月,,屯于香積寺,0.9,PERSON_PLACE
P000006,L000444,即位前见群臣,762年5月3日,,乃迎太子見羣臣於九仙門,0.95,PERSON_PLACE
P000014,L000447,位于,僖宗时期,,僖宗在蜀,0.9,PERSON_PLACE
P000006,L000442,驻扎,寶應元年十月,,寶應元年十月，屯于陝州，諸將進擊史朝義,0.9,PERSON_PLACE
P000006,L000026,随行至,,,從德宗幸奉天,0.9,PERSON_PLACE
P000006,L000450,侍宴于,,,後侍宴魚藻宮,0.9,PERSON_PLACE
P000006,L000206,即位于,貞元二十一年正月丙申,,丙申，即皇帝位于太極殿。,0.9,PERSON_PLACE
P000006,L000081,居储位,唐顺宗为太子的二十年期间,,順宗在東宮二十年,0.9,PERSON_PLACE
P000006,L000206,即位地点,元和十五年閏月丙午,,閏月丙午，皇太子即皇帝位于太極殿。,0.95,PERSON_PLACE
