eventId:ID,name,event_type,time,place,participants:string[],description,outcomes:string[],evidence:string[],confidence:float,:LABEL
E000001,撰写,著作,宋代,,王溥,撰,,宋[[作者:王溥|王溥]]撰,0.9,Event
E000002,追尊宣簡公,追尊,武德元年六月二十二日,,宣皇帝,追尊獻祖熙为宣簡公,宣簡公,武德元年六月二十二日，追尊爲宣簡公。,0.9,Event
E000003,追尊宣皇帝,追尊,咸亨五年八月十五日,,宣皇帝,追尊獻祖熙为宣皇帝，定庙号獻祖,宣皇帝|廟號獻祖,咸亨五年八月十五日，追尊宣皇帝，廟號獻祖，葬建初陵。,0.9,Event
E000004,高祖受禅,即位,隋義寧二年五月二十日,太極殿,高祖,李渊于太极殿接受禅让即皇帝位,建立唐朝|改元武德,隋義寧二年五月二十日，受禪於太極殿。,0.9,Event
E000005,高祖崩逝,崩逝,貞觀九年五月六日,大安宮垂拱前殿,高祖,高祖李渊驾崩于大安宫垂拱前殿,葬獻陵|諡大武皇帝,貞觀九年五月六日崩于大安宮垂拱前殿。|其年十月庚寅，葬獻陵。|諡曰大武皇帝，廟號高祖。,0.9,Event
E000006,陵名更定,行政命令,開元二十八年七月十八日,,,诏令将建昌陵改回建初陵,陵名定为建初陵,開元二十八年七月十八日，詔改爲建初陵。,0.9,Event
E000007,文宗出生,birth,元和四年十月十日,,文宗,文宗皇帝出生,以其日爲慶成節,元和四年十月十日生。|{{*|以其日爲慶成節。}},0.95,Event
E000008,文宗封江王,enfeoffment,長慶元年,,文宗,受封江王，原名涵,獲封江王爵位,長|慶|元|年|，|封|爲|江|王|。|名|涵|。,0.95,Event
E000009,文宗即位,accession,寶曆二年十二月,,文宗,即皇帝位，改名昂,改元太和|改名,寶|曆|二|年|十|二|月|，|卽|位|，|改|名|昂|。|{|{|*|||年|十|八|。|}|},0.95,Event
E000010,文宗崩逝,death,開成五年正月四日,大明宮太和殿,文宗,駕崩於大明宮太和殿,年三十二|諡號元聖昭獻孝皇帝，廟號文宗,開|成|五|年|正|月|四|日|，|崩|于|大|明|宮|之|太|和|殿|。|{|{|*|||年|三|十|二|。|}|},0.95,Event
