personId:ID,name,aliases:string[],roles:string[],offices:string[],evidence:string[],:LABEL
P000001,王溥,,作者|宰相|撰文者,太常卿|工部尚書,宰相二十五人：...王溥...|諡議。{{*|太常卿王溥撰。}}|戊子，朱全忠殺裴樞及...工部尚書王溥...|宋[[作者:王溥|王溥]]撰|author=王溥,Person
P000002,宣皇帝,宣簡公|熙|献祖|獻祖,皇帝,宣皇帝|宣簡公,追尊宣簡公為宣皇帝，懿王為光皇帝，太祖武皇帝為高祖神堯皇帝，太宗文皇帝為文武聖皇帝，太穆皇后為太穆神皇后，文德皇后為文德聖皇后。|武德元年六月二十二日，追尊爲宣簡公。|咸亨五年八月十五日，追尊宣皇帝，廟號獻祖|尊八代祖宣皇帝廟號獻祖，光皇帝廟號懿祖，始祔於太廟之九廟。|獻祖宣皇帝諱熙。,Person
P000003,懿祖,光皇帝|天賜|懿王,皇帝,光皇帝|懿王,武德元年六月二十二日，追尊懿王。|咸亨五年八月十五日，追尊光皇帝，廟號懿祖|宣皇帝長子。|追尊宣簡公為宣皇帝，懿王為光皇帝，太祖武皇帝為高祖神堯皇帝，太宗文皇帝為文武聖皇帝，太穆皇后為太穆神皇后，文德皇后為文德聖皇后。|懿祖光皇帝諱天賜。,Person
P000004,景皇帝,太祖|太祖景皇帝|孝明高皇帝|無上孝明高皇帝|虎,始祖|皇帝,,太祖景皇帝諱虎。|武德元年六月二十二日，追尊景皇帝，廟號太祖|光皇帝第二子。|請以太祖景皇帝郊祀配天地。|庚子，追尊烈祖昭安皇帝曰渾元昭安皇帝，顯祖文穆皇帝曰立極文穆皇帝，太祖孝明高皇帝曰無上孝明高皇帝。,Person
P000005,高祖,叔德|唐国公|唐王|唐高祖|大武皇帝|李渊|武皇帝|淵|神堯大聖大光孝皇帝|神堯皇帝|高祖神堯皇帝,军事统帅|太上皇|宗室|扶風太守|父亲|皇帝|被议谥对象|配祀对象|配祀者|配飨,千牛备身|卫尉少卿|唐王|大丞相|大将军|太原留守|山西河东慰抚大使|岐州刺史|弘化留守|殿内少监|荥阳楼烦二郡太守,高祖神堯大聖大光孝皇帝諱淵。|隋義寧二年五月二十日，受禪於太極殿。|以高祖配|諡曰大武皇帝，廟號高祖|高祖十九女：,Person
P000006,中宗,三思|上|上(景云元年六月壬午前)|上皇天帝|世民|中宫|临淄王隆基|义兴王重俊|义兴郡王重俊|乳母王氏|亨|代宗|何氏|俶|傑|元宗|元昭皇后|元昭皇太后|先帝|冀王|冀王輪|则天|则天大圣皇后|则天大圣皇帝|则天皇帝|则天顺圣皇后|則天|則天大聖皇后|則天大聖皇帝|則天皇后|則天皇太后|則天順聖皇后|劉氏|北海王重茂|北海郡王重茂|千里|卫王|后|周王顯|周王顯妃|哲|唐中宗|唐代宗|唐国世子|唐太宗|唐宪宗|唐懿宗|唐玄宗|唐穆宗|唐高宗|嗣初|嗣升|嗣昇|圣神皇|士彠|壽春王|壽春郡王|壽王|大和大聖大昭孝皇帝|大帝|大王|大聖則天皇后|大聖天后|大行皇后(元和十一年)|天冊金輪大聖皇帝|天冊金輪聖神皇帝|天后|天后聖帝|天皇|天皇大帝|天皇大聖大弘孝皇帝|天策上将|太上皇|太上皇后|太上皇帝|太后|太子|太子建成|太子弘|太子重俊|太子隆基|太宗|太皇太后|奉节郡王|妃|妃趙氏|妃韦氏|孝和皇帝|孝宣皇帝|孝敬|孝敬皇帝|孝明太皇太后|孝明皇后|孝明皇太后|孝明皇帝|守礼|安国相王|安國相王|安國相王旦|宋氏|宋王|宋王憲|宋王成器|宝应元圣文武孝皇帝|宣懿皇后|宣懿皇太后|宪宗|宸妃|寧王|寧王憲|寿春郡王|少帝|尚宮宋氏|帝|平王|广平郡王|广陵郡王|庐陵王|庶人忠|庶人賢|庶人韋氏|廣陵郡王|廬陵王|廬陵王哲|建安郡王|开元神武皇帝|弘|德宗|德宗妃|德宗皇帝|德陽郡王|德靜王|忠孝(谥)|忠王浚|恭僖皇太后|恭憲皇太后|悼懷太子|惠安皇后|惠安皇太后王氏|慈氏越古金輪聖神皇帝|憲|憲宗|應天皇帝|應天神龍皇帝|懿宗|成器|成王|成王千里|成紀郡王千里|才人|承嗣|敏|敬宗|文武大聖大廣孝皇帝|文武聖皇帝|文皇帝|旦|旭轮|昭仪|昭儀|昭宗|昭宗皇后|昭德皇后王氏|昭文章武大聖至神孝皇帝|昭聖恭惠孝皇帝|显|晉王|普|景王|曄|曌|朕|李世民|李亨|李建成|李忠|李恒|李成器|李旦|李旦(史称)|李旦(据史实，原文未提本名)|李显|李显(史称)|李曄|李治|李湛|李漼|李炎|李纯|李豫|李适|李重俊|李重茂|李隆基|李顯|東光|東光公主|梁王|梁王三思|楚王|楚王隆基|武三思|武则天|武則天|武后|武士彠|武太后(史称)|武宗|武宸妃|武承嗣|武昭仪|武曌|武氏|殇帝|殤皇帝|殷王|殷王旭轮|比丘尼|永平郡王|沛王|河內王|浚|涓|温王|温王重茂|溫|溫王|溫王重茂|漼|潁王|澧|炎|燉煌公|玄宗|玄真大聖大興孝皇帝|王妃(北平郡王妃)|王妃(太原郡王妃)|王妃(金城郡王妃)|王氏|王皇后|珪|璵|皇后|皇后韋氏|皇嗣|皇嗣妃劉氏|皇嗣旦|皇太后|皇太子|皇太子基|皇太子弘|皇太子賢|皇太子重俊|皇太弟|皇孫成器|皇帝|皇帝(八月庚子后)|皇帝(被废前)|相王|相王旦|相王李旦|相王輪|睿宗|睿文昭聖恭惠孝皇帝|睿武昭愍孝皇帝|睿聖文惠孝皇帝|神武圣文皇帝|神皇|秦王|穆宗|積善皇太后|第二王氏|純|素節|紹|結|絿|聖后|聖母神皇|聖皇天帝|聖眞皇帝|聖神皇帝|聖穆景文孝皇帝|肃宗|肅宗|肅明皇后|臣某|臨淄王|臨淄郡王|至道昭肅孝皇帝|良娣王氏|英王|莊憲皇后|莊憲皇太后|莒國夫人|葛王|蕭氏|蕭良娣|衛王|衞王重俊|襄王|許王|許王素節|誦|讓帝|讓皇帝|许王素节|豫王|豫王妃|豫王旦|貞獻皇后|貞獻皇太后|賢|赵国公|越古金輪聖神皇帝|趙氏|車駕|輪|轮|遂王|邠王|郇王素節|郕國夫人|郭環妹|鄂王|鄂王涓|鄆王|鄭氏|鄱陽郡王|重俊|重茂|開元神武皇帝|開元聖文神武皇帝|陛下|陜王|陳王|陳王忠|隆基|隴西公|雍王|雍王賢|雲安郡王|韋后|韋庶人|韋後|韋氏|韋皇后|韦后|韦太后|韦氏|韦皇后|順天皇后|順天翊聖皇后|順宗|順宗皇后|顯|顺宗|駙馬都尉紹|高宗|高宗大帝|高宗天皇|高宗皇后|魏宣王|魏王|魏王承嗣|魏王武承嗣|鲁王|鼂氏, mother|下制者|下诏者|中宗母弟|中宗皇后|中宗第四子|临朝称制者|主祭者|乳母|亚献|亞獻參與者|亡国之君|亲王|亲祀者|亲耕者|储君|傳位者|儲君|兄|兄长|先生|公主|冀王|军事统帅|即位者|原谥对象|叛亂者|后妃|后宫之主|君主|周王|和蕃公主|唐朝宗室|唐玄宗|唐肃宗|地方官|壽春郡王|壽王|外戚|天兵道元帥|天后|天皇|太上皇|太上皇后|太上皇帝（八月庚子后）|太后|太子|太子之父|太子賓客|太尉|女性|妃|妃嫔|婕妤|嫡皇孙|嬪妃|子|孝明皇帝|安北大都護|宋王|宗室|官员|宣宗子|宣宗母|宣宗長子|宸妃|宸妃（擬號）|寧王|封禅主祭|将领|尚宮|崩逝者|已故皇帝|帝王|平定政变主导者|庶人|廬陵王|徙居者|忠王|懿宗第七子|才人|执政者|政变主导者|政变参与者|政權首領|昭仪|昭宗生母|最高统治者|朝集使|权臣|東光公主本姓|梁王|楚王|權臣|武氏先祖|武氏宗亲|殷王|母|母亲|比丘尼|父|父亲|父親|玄宗之父|玄宗第三子|王|皇后|皇后母|皇嗣|皇嗣妃|皇太后|皇太后（册封）|皇太后（后）|皇太后（追尊）|皇太子|皇太子（传位前）|皇太弟|皇子|皇孫|皇帝|皇帝（传位前）|皇帝（传位后）|皇帝（后文）|皇帝（后）|皇帝（短暂）|皇族|監國|相王|睿宗第三子|睿宗長子|神皇|祭祀者|称制者|穎王|终献|统治者|聖母神皇|臨淄郡王|舒州刺史|良娣|英王|衞王|被废皇帝|被废黜者|被杀者|被议谥对象|被诛宗室|被迎对象|被追尊对象|親王|觀燈者|許王|誅易之兄弟功臣|誅逆主導者|誥命發布者|讓職者|豫王|赦免者|郎王|郡王|鄂王|鄆王|配祀者|配飨|陜王|雍王|高宗第五子|高宗第八子|魏王,並州牧|並州都督|中书令|亚献|代王|储位（后升）|內史|关内兵马元帅|冀州大都督|冀王|利州都督|北海郡王|单于大都护|右卫大将军|右散骑侍郎|右散骑常侍|右羽林卫大将军|右羽林大将军|右羽林将军|右羽林衞大將軍|右翊卫大将军|右衛郎將|右金吾卫大将军|右金吾大將軍|右金吾衞大將軍|右领军大都督|司徒|司空|同中书门下三品|同中書門下三品|同鳳閣鸞台三品|同鳳閣鸞臺三品|周國公|周王|單于大都護|壽春郡王|大總管|大谷道大總管|天下兵马元帅|天冊金輪大聖皇帝|天后|天官尚书|天官尚書|太上皇|太原王|太后|太子|太子右卫率|太子右衛率|太子右衞率|太子太保|太子太师|太子太師|太子少保|太子賓客|太尉|太師（追尊）|太常卿|婕妤|安北大都護|安北道行軍元帥|安撫大使|安西大都护|宋王|宗正卿|宸妃|寧王|尚书令|尚書左僕射|尚輦奉御|岐州刺史|工部尚书|工部尚書|左元帅|左千牛中郎將|左右千牛大將軍|左羽林衞將軍|左衛大將軍|左领军大都督|并州牧|并州道元帥|幷州牧|幷州都督（遙領）|幽州盧龍軍節度使|幽州都督|应国公|庶人|廬陵王|德静王|忠王|慈氏越古金輪聖神皇帝|才人|押左右萬騎|揚州大都督|文昌左相|春官尚書|昭仪|朔方節度大使|朔方节度大使|梁王|检校内史|楚王|榆關道安撫大使|檢校中書令|檢校內史|檢校吏部尚書|檢校安北大都護|檢校隴右羣牧大使|殷王|殿中兼知內外閑廄、檢校龍武右軍、押左右廂萬騎|殿中监|殿中監|河北東道行軍元帥|河北節度大使|河北道行军元帅|洛州牧|洛牧|溫王|潞州別駕|特进|特進|申州刺史|皇后|皇嗣|皇太后|皇太子|皇太弟（辞）|皇孫|皇帝|監國|相王|知左、右羽林衞大將軍事|禮部尚書|秦王|納言|纳言|终献|臨朝稱制|臨淄郡王|舒州刺史|英王|荆州都督|荊州都督|葛王|蔡王|衛尉少卿|衞尉少卿|襄王|西讨元帅|許王|諸道元帥|豫王|赵国公|遙領彰義軍節度使|銀青光祿大夫|開元神武皇帝|開府儀同三司|雍州牧|駙馬都尉|魏王（追尊）|鷹揚府隊正,武三思奏昌宗乃王子晉後身。|謚曰則天大聖皇后|矯詔立溫王重茂為皇太子|太后幸興泰宮。|周王顯妃趙氏以罪幽死,Person
P000007,涼武昭王,暠,王,涼武昭王,涼武昭王暠曾孫,Person
P000008,弘農太守,重耳,,弘農太守,弘農太守重耳之子也。,Person
P000009,獨孤氏,元貞皇后,皇后|靜樂公主本姓,,母曰元貞皇后獨孤氏。|封外甥女獨孤氏|元皇帝皇后獨孤氏。諡元貞。,Person
P000010,竇氏,太穆皇后|太穆神皇后|太穆順聖皇后|德妃竇氏|昭成皇后|昭成皇后竇氏|昭成順聖皇后竇氏, mother|妃嫔|德妃|母亲|玄宗之母|皇后|皇嗣妃,太穆神皇后,高祖皇后竇氏。武德元年六月二十二日，追諡穆皇后。|德妃竇氏為厭咒|母曰昭成順聖皇后竇氏|殺皇嗣妃劉氏、竇氏|二年臘月癸亥，殺皇嗣妃劉氏、德妃竇氏。,Person
