timeId:ID,text,normalized,evidence,confidence:float,:LABEL
T000001,宋,宋代,宋[[作者:王溥|王溥]]撰,0.9,TimeAnchor
T000002,武德元年六月二十二日,武德元年六月二十二日,武德元年六月二十二日，追尊爲宣簡公。,0.9,TimeAnchor
T000003,咸亨五年八月十五日,咸亨五年八月十五日,咸亨五年八月十五日，追尊宣皇帝，廟號獻祖，葬建初陵。,0.9,TimeAnchor
T000004,儀鳳二年五月一日,儀鳳二年五月一日,儀鳳二年五月一日，追封爲建昌陵。,0.9,TimeAnchor
T000005,開元二十八年七月十八日,開元二十八年七月十八日,開元二十八年七月十八日，詔改爲建初陵。,0.9,TimeAnchor
T000006,隋義寧二年五月二十日,隋義寧二年五月二十日,隋義寧二年五月二十日，受禪於太極殿。,0.9,TimeAnchor
T000007,貞觀九年五月六日,貞觀九年五月六日,貞觀九年五月六日崩于大安宮垂拱前殿。,0.9,TimeAnchor
T000008,上元三年|676年,676,{{YL|上元三年|676年}}十一月三日，改爲儀鳳。,0.9,TimeAnchor
T000009,天授元年|690年,690,{{YL|天授元年|690年}}九月，降爲皇嗣，仍名輪。,0.9,TimeAnchor
T000010,延和元年|712年,712,{{YL|延和元年|712年}}八月二十五日，傳位。,0.9,TimeAnchor
T000011,乾元元年|758年,758,{{YL|乾元元年|758年}}正月五日，加尊號太上至道聖皇天帝。,0.9,TimeAnchor
T000012,廣德元年|763年,763,{{YL|廣德元年|763年}}三月辛酉，葬泰陵。,0.9,TimeAnchor
T000013,元和四年十月十日,元和四年十月十日,元和四年十月十日生。,0.95,TimeAnchor
T000014,長慶元年,長慶元年,長慶元年，封爲江王。,0.95,TimeAnchor
T000015,寶曆二年十二月,寶曆二年十二月,寶曆二年十二月，卽位，改名昂。,0.95,TimeAnchor
T000016,開成五年正月四日,開成五年正月四日,開成五年正月四日，崩于大明宮之太和殿。,0.95,TimeAnchor
T000017,開成五年八月,開成五年八月,八月，葬章陵。,0.9,TimeAnchor
T000018,元和九年甲午歲六月十一日,元和九年六月十一日（甲午年）,元和九年甲午歲六月十一日，生于東宮。,0.95,TimeAnchor
T000019,會昌六年丙寅三月二十一日,會昌六年三月二十一日（丙寅年）,會昌六年丙寅三月二十一日，武宗不豫，立皇太叔，勾當軍國政事。,0.95,TimeAnchor
T000020,會昌六年三月二十二日,會昌六年三月二十二日,翌日，卽位，改名忱。,0.9,TimeAnchor
T000021,大中十三年己卯八月七日,大中十三年八月七日（己卯年）,大中十三年己卯八月七日，崩于大明宮。,0.95,TimeAnchor
T000022,咸通十四年癸巳七月,咸通十四年七月（癸巳年）,咸通十四年癸巳七月，崩于咸寧殿。,0.95,TimeAnchor
T000023,文德元年三月,文德元年三月,文德元年三月，崩于武德殿。,0.95,TimeAnchor
T000024,天祐元年甲子八月,天祐元年八月（甲子年）,天祐元年甲子八月，梁王密令蔣玄暉等弒于東都椒殿。,0.95,TimeAnchor
T000025,天祐四年丁卯三月,天祐四年三月（丁卯年）,天祐四年丁卯三月，禪位于梁。,0.95,TimeAnchor
T000026,天祐五年,天祐五年,明年二月，遇害前刺史氏叔琮之第。,0.85,TimeAnchor
T000027,太和，盡九年,太和九年,{{*|太和，盡九年。開成，盡五年。}},0.9,TimeAnchor
T000028,開成，盡五年,開成五年,{{*|太和，盡九年。開成，盡五年。}},0.9,TimeAnchor
T000029,會昌，盡六年,會昌六年,{{*|會昌，盡六年。}},0.9,TimeAnchor
T000030,大中，十三年,大中十三年,{{*|大中，十三年。}},0.9,TimeAnchor
T000031,咸通，盡十四年,咸通十四年,{{*|咸通，盡十四年。}},0.9,TimeAnchor
T000032,乾符七年，改廣明元年,乾符七年/廣明元年,{{*|乾符七年，改廣明元年。廣明二年，改中和元年。中和五年，改光啓元年。光啓四年，改文德元年。}},0.9,TimeAnchor
T000033,龍紀二年，改大順,龍紀二年/大順元年,{{*|龍紀二年，改大順。大順三年，改景福。景福三年，改乾寧。乾寧五年，改光化。光化四年，改天復。天復四年，改天祐。}},0.9,TimeAnchor
T000034,大曆十四年七月,779年7月,大曆十四年七月，禮儀使、吏部尚書顏眞卿上言,0.95,TimeAnchor
T000035,興元元年正月,784年1月,興元元年正月，上在奉天，頒罪己之詔,0.95,TimeAnchor
T000036,元和十五年四月,820年4月,元和十五年四月，禮儀使奏,0.95,TimeAnchor
T000037,太和七年十二月,833年12月,太和七年十二月，宰臣王涯等四人上表請册徽號,0.95,TimeAnchor
T000038,開成二年二月,837年2月,至開成二年二月，因御紫宸殿，宰相鄭覃、李固言、李石等以請,0.95,TimeAnchor
T000039,大中三年十二月二十五日,849年12月25日,大中三年十二月二十五日，追尊順宗憲宗諡號,0.95,TimeAnchor
T000040,天祐二年三月,905年3月,天祐二年三月，起居郎蘇楷議昭宗諡號曰,0.95,TimeAnchor
T000041,永徽四年正月,永徽四年正月,永徽四年正月封代王。,0.9,TimeAnchor
T000042,顯慶元年,顯慶元年,顯慶元年，册爲皇太子。,0.9,TimeAnchor
T000043,上元二年四月二十五日,上元二年四月二十五日,上元二年四月二十五日，薨于合璧宮倚雲殿,0.9,TimeAnchor
T000044,五月五日,上元二年五月五日,五月五日贈諡曰孝敬皇帝。,0.9,TimeAnchor
T000045,聖曆三年臘月,聖曆三年臘月,聖曆三年臘月，封北海郡王。,0.9,TimeAnchor
